raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,officer_id_hash,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,vehicle_registration_state,notes,year,month,subject_race_asian/pacific islander,subject_race_black,subject_race_hispanic,subject_race_other,subject_race_unknown,subject_race_white,subject_sex_female,subject_sex_male,violation_child restraint,violation_investigative stop,violation_moving traffic violation,violation_parking violation,violation_registration,violation_safety violation,violation_seatbelt violation,violation_vehicle equipment violation,subject_race,subject_sex,violation,stardate
1900997,2014-10-01,00:34:00,"EASTLAND AVE & GALLATIN AVE, NASHVILLE, TN, 37206",36.1837953,-86.74836040000002,2.0,1243.0,213.0,38.0,0912fafc21,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,c t lens,2014,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2014-10-01 00:34:00
212010,2010-09-01,23:36:00,"BRILEY PKWY & I 24 E, WHITES CREEK, TN, 37189",36.23305870000001,-86.8148702,6.0,3202.0,627.0,20.0,82310b76a1,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2010,9,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2010-09-01 23:36:00
2817792,2017-09-01,00:44:00,"DICKERSON PIKE & HOMESTEAD RD, NASHVILLE, TN, 37207",36.2351093,-86.75830479999998,2.0,1807.0,225.0,27.0,e5723525d5,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2017-09-01 00:44:00
1484717,2013-10-01,06:49:00,"441 HARDING PL, NASHVILLE, TN, 37211",36.078325,-86.72919300000002,8.0,8609.0,831.0,31.0,b5ca91d71f,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2013,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2013-10-01 06:49:00
1642573,2014-03-01,23:56:00,"S 15TH ST & WOODLAND ST, NASHVILLE, TN, 37206",36.1770388,-86.74396349999998,2.0,1247.0,213.0,35.0,529fc1bfb1,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2014,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2014-03-01 23:56:00
1776390,2014-06-01,23:14:00,"GATEWOOD AVE & LUTON ST, NASHVILLE, , 37207",36.2000034,-86.7682566,,,,29.0,e0fcf690b4,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2014,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,white,male,safety violation,2014-06-01 23:14:00
2965883,2018-04-01,08:11:00,"CUMBERLAND PL & LONGVIEW WAY, NASHVILLE, TN, 37215",36.0950386,-86.817318,8.0,6403.0,825.0,20.0,b908cb6e33,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2018,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2018-04-01 08:11:00
775147,2012-03-01,22:06:00,"HILLSBORO PIKE & HOBBS RD, NASHVILLE, TN, 37215",36.1009651,-86.81872179999998,1.0,6111.0,117.0,58.0,0535f8bb5a,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2012-03-01 22:06:00
868286,2012-05-01,16:11:00,"520 MCMURRAY DR, NASHVILLE, TN, 37211",36.05704220000001,-86.72410169999998,8.0,8659.0,835.0,86.0,14b56e9185,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2012,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2012-05-01 16:11:00
2597000,2016-11-01,21:11:00,"CHARLOTTE PIKE & WHITE BRIDGE PIKE, NASHVILLE, TN, 37209",36.150147,-86.8578526,1.0,5103.0,113.0,33.0,81fac77d3f,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2016,11,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,white,female,safety violation,2016-11-01 21:11:00
1805778,2014-07-01,17:44:00,"W TRINITY LN & BRICK CHURCH PIKE, NASHVILLE, TN, 37207",36.2066779,-86.77796219999998,6.0,3007.0,621.0,24.0,3dc0ec0fc0,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2014,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2014-07-01 17:44:00
1652473,2014-03-01,17:39:00,"DOUGLAS AVE & LISCHEY AVE, NASHVILLE, TN, 37207",36.1936029,-86.76325910000001,2.0,1909.0,221.0,22.0,f2dffe612c,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2014,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,black,female,moving traffic violation,2014-03-01 17:39:00
2638889,2017-01-01,23:34:00,"HARDING PIKE & VAUGHNS GAP RD, NASHVILLE, TN, 37205",36.0926136,-86.8853803,1.0,4913.0,121.0,22.0,53e360df93,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,white,female,safety violation,2017-01-01 23:34:00
1099747,2012-11-01,17:20:00,"CENTRAL PIKE & OLD HICKORY BLVD, HERMITAGE, TN, 37076",36.1735855,-86.6021043,5.0,9557.0,523.0,34.0,3316885e7f,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,white,female,vehicle equipment violation,2012-11-01 17:20:00
2182764,2015-07-01,17:39:00,"ASH ST & EWING AVE, NASHVILLE, TN, 37203",36.1503554,-86.77626479999998,4,4025.0,423,36.0,150043b12d,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2015,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2015-07-01 17:39:00
2738478,2017-05-01,20:18:00,"BROADWAY  & OPRY PL, NASHVILLE, TN, 37203",36.1604836,-86.7784329,4.0,4109.0,421.0,22.0,dc95719a9d,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2017,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2017-05-01 20:18:00
2803075,2017-08-01,00:29:00,"3606 HAMILTON CHURCH RD, ANTIOCH, TN, 37013",36.0586388,-86.5969013,3.0,8907.0,335.0,30.0,7770082848,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,hispanic,male,moving traffic violation,2017-08-01 00:29:00
752846,2012-02-01,13:15:00,"CLARKSVILLE PIKE & ED TEMPLE BLVD, NASHVILLE, TN, 37228",36.1879505,-86.82153120000002,6.0,4483.0,611.0,37.0,0c43101255,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2012-02-01 13:15:00
